"ID","Response","Variable","Estimate","Std. Error","t value","Pr(>|t|)"
14,"scale(jac)","(Intercept)","-12.1481699283046","2.39875728136506","-5.0643597927471","2.066668577827e-06"
14,"scale(jac)","log10(wcvp_all_popsize)","0.854504890635083","0.115479065826338","7.39965191544001","5.96218630022349e-11"
14,"scale(jac)","Mating.systemoutcrossing","1.37898151790455","0.141439161734935","9.74964430635442","6.66133814775094e-16"
14,"scale(jac)","cultivation.statuswild","0.652656395845349","0.270692230221236","2.4110643859705","0.0178715439052111"
14,"scale(jac)","Generation.timenot
annual","0.148356038919391","0.449679803639591","0.329914836554001","0.742206290190239"
15,"scale(bcd)","(Intercept)","-14.6960275773005","2.62468023525986","-5.59916875963579","2.16966205002223e-07"
15,"scale(bcd)","log10(wcvp_all_popsize)","1.05856115797737","0.126355269045052","8.37765742558733","5.48006084954977e-13"
15,"scale(bcd)","Mating.systemoutcrossing","0.949203851921183","0.154760373290519","6.13337789085919","2.072237936801e-08"
15,"scale(bcd)","cultivation.statuswild","0.802719382143221","0.296186926463762","2.71017830438047","0.00800761883329359"
15,"scale(bcd)","Generation.timenot
annual","0.435273642764228","0.492032145968813","0.884644725614772","0.378629722898485"
16,"scale(log10(pi))","(Intercept)","-3.93882891967925","1.19614708264252","-3.29293025651796","0.00140291244752389"
16,"scale(log10(pi))","log10(wcvp_all_area)","0.488723232392408","0.0932934663108433","5.23855797965569","1.00364386601548e-06"
16,"scale(log10(pi))","Mating.systemoutcrossing","0.653773381430898","0.0773430049604239","8.4529089833713","3.80584452841504e-13"
16,"scale(log10(pi))","cultivation.statuswild","0.436540940563003","0.151716191294566","2.8773523566475","0.00497384613152319"
16,"scale(log10(pi))","Generation.timenot
annual","0.0686602137364798","0.237684499151822","0.288871230481979","0.773322843118521"
17,"scale(jac)","(Intercept)","-10.6646313029183","2.03568502647167","-5.23884155173195","1.00245471790217e-06"
17,"scale(jac)","log10(wcvp_all_area)","1.40174870562613","0.158773210412436","8.82862229707954","6.12843109593086e-14"
17,"scale(jac)","Mating.systemoutcrossing","1.44872413681365","0.131627622877639","11.0062318618363","0"
17,"scale(jac)","cultivation.statuswild","1.25192376101702","0.258201005021354","4.84864015503534","4.96873281541355e-06"
17,"scale(jac)","Generation.timenot
annual","-0.882141399365634","0.404507759095027","-2.18077744995344","0.0317227450318922"
18,"scale(bcd)","(Intercept)","-13.7217896084288","1.99878184938129","-6.86507615259581","7.33519689433138e-10"
18,"scale(bcd)","log10(wcvp_all_area)","1.85415290689769","0.155894947898901","11.8936048402295","0"
18,"scale(bcd)","Mating.systemoutcrossing","1.04018331139946","0.129241459294436","8.04837176149278","2.68540745196333e-12"
18,"scale(bcd)","cultivation.statuswild","1.58854959988016","0.253520301823506","6.26596603291385","1.14208797974413e-08"
18,"scale(bcd)","Generation.timenot
annual","-0.856013600621029","0.397174787012313","-2.15525664924569","0.0337239878890814"
19,"scale(log10(pi))","(Intercept)","-2.10846616879223","1.30303800220474","-1.61811563839635","0.109024455936097"
19,"scale(log10(pi))","log10(wcvp_native_popsize)","0.135615958556962","0.0559971906028627","2.42183504381073","0.0173817162360317"
19,"scale(log10(pi))","Mating.systemoutcrossing","0.477273657430591","0.107233349168588","4.45079502907478","2.37301580123805e-05"
19,"scale(log10(pi))","cultivation.statuswild","0.147666498103851","0.16910808226897","0.873207809600629","0.384798923903544"
19,"scale(log10(pi))","Generation.timenot
annual","0.346070399601782","0.27683339416523","1.25010351675719","0.214398261952349"
20,"scale(jac)","(Intercept)","-8.66131779154507","2.24452121112748","-3.85887099155292","0.000210013419648547"
20,"scale(jac)","log10(wcvp_native_popsize)","0.639633000773978","0.0964568046818371","6.63128954855812","2.16194262492309e-09"
20,"scale(jac)","Mating.systemoutcrossing","0.651440603183421","0.184712591913583","3.52677961169097","0.000655307197845678"
20,"scale(jac)","cultivation.statuswild","0.223067909958063","0.291293636090098","0.765783670910913","0.445744256799499"
20,"scale(jac)","Generation.timenot
annual","0.313363860183109","0.476853648244284","0.657148920506063","0.512708213186648"
21,"scale(bcd)","(Intercept)","-10.3111011851156","2.49038213990074","-4.14036907023697","7.62011201698165e-05"
21,"scale(bcd)","log10(wcvp_native_popsize)","0.787327308134409","0.107022514405589","7.35665119164207","7.30855376218642e-11"
21,"scale(bcd)","Mating.systemoutcrossing","0.0537899291255431","0.204945686249626","0.262459435521012","0.793547765009021"
21,"scale(bcd)","cultivation.statuswild","0.274580852193589","0.323201431641237","0.849565705198922","0.3977483223989"
21,"scale(bcd)","Generation.timenot
annual","0.631629258013575","0.52908736306285","1.19380900416354","0.235588973578253"
22,"scale(log10(pi))","(Intercept)","-2.25962499633571","1.1316427201632","-1.9967653713266","0.0487740309933731"
22,"scale(log10(pi))","log10(wcvp_native_area)","0.292784769294631","0.0722666386919074","4.05145132794751","0.000105455812540844"
22,"scale(log10(pi))","Mating.systemoutcrossing","0.311375034889457","0.113757464307124","2.73718332934007","0.00742449806897838"
22,"scale(log10(pi))","cultivation.statuswild","0.158148074920637","0.156890999533746","1.00801241237947","0.316064002383128"
22,"scale(log10(pi))","Generation.timenot
annual","0.267126713704467","0.251372906434864","1.06267106305541","0.29068280602112"
23,"scale(jac)","(Intercept)","-6.39955374084395","1.98509988609603","-3.22379432172028","0.00174538454888662"
23,"scale(jac)","log10(wcvp_native_area)","0.924358330456216","0.126768363971943","7.29171144514258","9.93445326002984e-11"
23,"scale(jac)","Mating.systemoutcrossing","0.37322872745846","0.199550551967566","1.87034675563876","0.0645808364525182"
23,"scale(jac)","cultivation.statuswild","0.425156242713345","0.27521434084692","1.54481863628548","0.125786302314797"
23,"scale(jac)","Generation.timenot
annual","-0.273207031684604","0.440952183087886","-0.619584259162521","0.537046553912709"
