assembly	chromosome
capsella_grandiflora	Scaffold1177
capsella_grandiflora	Scaffold11786
capsella_grandiflora	Scaffold1179
capsella_grandiflora	Scaffold11801
capsella_grandiflora	Scaffold1183
capsella_grandiflora	Scaffold11843
capsella_grandiflora	Scaffold11861
capsella_grandiflora	Scaffold1189
capsella_grandiflora	Scaffold11896
capsella_grandiflora	Scaffold11902
capsella_grandiflora	Scaffold11903
capsella_grandiflora	Scaffold11905
capsella_grandiflora	Scaffold11916
capsella_grandiflora	Scaffold1192
capsella_grandiflora	Scaffold11928
capsella_grandiflora	Scaffold11930
capsella_grandiflora	Scaffold11938
capsella_grandiflora	Scaffold1194
capsella_grandiflora	Scaffold1195
capsella_grandiflora	Scaffold11960
capsella_grandiflora	Scaffold11974
capsella_grandiflora	Scaffold11978
capsella_grandiflora	Scaffold120
capsella_grandiflora	Scaffold12003
capsella_grandiflora	Scaffold1201
capsella_grandiflora	Scaffold12011
capsella_grandiflora	Scaffold1202
capsella_grandiflora	Scaffold12029
capsella_grandiflora	Scaffold1203
capsella_grandiflora	Scaffold12043
capsella_grandiflora	Scaffold12046
capsella_grandiflora	Scaffold12057
capsella_grandiflora	Scaffold1206
capsella_grandiflora	Scaffold12061
capsella_grandiflora	Scaffold12068
capsella_grandiflora	Scaffold12076
capsella_grandiflora	Scaffold1209
capsella_grandiflora	Scaffold12094
capsella_grandiflora	Scaffold12107
capsella_grandiflora	Scaffold1211
capsella_grandiflora	Scaffold12113
capsella_grandiflora	Scaffold12114
capsella_grandiflora	Scaffold12117
capsella_grandiflora	Scaffold1212
capsella_grandiflora	Scaffold12124
capsella_grandiflora	Scaffold12145
capsella_grandiflora	Scaffold1216
capsella_grandiflora	Scaffold12167
capsella_grandiflora	Scaffold12170
capsella_grandiflora	Scaffold12188
capsella_grandiflora	Scaffold12189
capsella_grandiflora	Scaffold12196
capsella_grandiflora	Scaffold1220
capsella_grandiflora	Scaffold12206
capsella_grandiflora	Scaffold12213
capsella_grandiflora	Scaffold12215
capsella_grandiflora	Scaffold12225
capsella_grandiflora	Scaffold12227
capsella_grandiflora	Scaffold1225
capsella_grandiflora	Scaffold12252
capsella_grandiflora	Scaffold1226
capsella_grandiflora	Scaffold12271
capsella_grandiflora	Scaffold12283
capsella_grandiflora	Scaffold12297
capsella_grandiflora	Scaffold123
capsella_grandiflora	Scaffold1232
capsella_grandiflora	Scaffold12326
capsella_grandiflora	Scaffold12327
capsella_grandiflora	Scaffold12328
capsella_grandiflora	Scaffold12342
capsella_grandiflora	Scaffold12347
capsella_grandiflora	Scaffold12364
capsella_grandiflora	Scaffold12385
capsella_grandiflora	Scaffold12393
capsella_grandiflora	Scaffold12398
capsella_grandiflora	Scaffold12399
capsella_grandiflora	Scaffold12401
capsella_grandiflora	Scaffold12402
capsella_grandiflora	Scaffold12428
capsella_grandiflora	Scaffold12434
capsella_grandiflora	Scaffold12438
capsella_grandiflora	Scaffold12450
capsella_grandiflora	Scaffold12458
capsella_grandiflora	Scaffold1246
capsella_grandiflora	Scaffold1249
capsella_grandiflora	Scaffold12495
capsella_grandiflora	Scaffold12501
capsella_grandiflora	Scaffold12514
capsella_grandiflora	Scaffold12516
capsella_grandiflora	Scaffold12518
capsella_grandiflora	Scaffold12529
capsella_grandiflora	Scaffold1255
capsella_grandiflora	Scaffold12556
capsella_grandiflora	Scaffold12562
capsella_grandiflora	Scaffold12569
capsella_grandiflora	Scaffold12571
capsella_grandiflora	Scaffold12576
capsella_grandiflora	Scaffold12588
capsella_grandiflora	Scaffold12591
capsella_grandiflora	Scaffold12596
capsella_grandiflora	Scaffold12607
capsella_grandiflora	Scaffold12609
capsella_grandiflora	Scaffold1261
capsella_grandiflora	Scaffold1262
capsella_grandiflora	Scaffold12624
capsella_grandiflora	Scaffold12637
capsella_grandiflora	Scaffold1264
capsella_grandiflora	Scaffold1265
capsella_grandiflora	Scaffold12655
capsella_grandiflora	Scaffold1268
capsella_grandiflora	Scaffold12686
capsella_grandiflora	Scaffold1269
capsella_grandiflora	Scaffold12696
capsella_grandiflora	Scaffold12720
capsella_grandiflora	Scaffold12752
capsella_grandiflora	Scaffold12778
capsella_grandiflora	Scaffold12787
capsella_grandiflora	Scaffold1279
capsella_grandiflora	Scaffold12798
capsella_grandiflora	Scaffold12801
capsella_grandiflora	Scaffold12804
capsella_grandiflora	Scaffold12832
capsella_grandiflora	Scaffold12845
capsella_grandiflora	Scaffold1287
capsella_grandiflora	Scaffold12879
capsella_grandiflora	Scaffold12893
capsella_grandiflora	Scaffold12914
capsella_grandiflora	Scaffold12924
capsella_grandiflora	Scaffold12929
capsella_grandiflora	Scaffold12963
capsella_grandiflora	Scaffold12977
capsella_grandiflora	Scaffold12978
capsella_grandiflora	Scaffold12986
capsella_grandiflora	Scaffold13
capsella_grandiflora	Scaffold1300
capsella_grandiflora	Scaffold1301
capsella_grandiflora	Scaffold13025
capsella_grandiflora	Scaffold13036
capsella_grandiflora	Scaffold1305
capsella_grandiflora	Scaffold13056
capsella_grandiflora	Scaffold13063
capsella_grandiflora	Scaffold13073
capsella_grandiflora	Scaffold13082
capsella_grandiflora	Scaffold13099
capsella_grandiflora	Scaffold1310
capsella_grandiflora	Scaffold13118
capsella_grandiflora	Scaffold13133
capsella_grandiflora	Scaffold13140
capsella_grandiflora	Scaffold13142
capsella_grandiflora	Scaffold13153
capsella_grandiflora	Scaffold13157
capsella_grandiflora	Scaffold1317
capsella_grandiflora	Scaffold13170
capsella_grandiflora	Scaffold13186
capsella_grandiflora	Scaffold13191
capsella_grandiflora	Scaffold13209
capsella_grandiflora	Scaffold13232
capsella_grandiflora	Scaffold13237
capsella_grandiflora	Scaffold13238
capsella_grandiflora	Scaffold1325
capsella_grandiflora	Scaffold13261
capsella_grandiflora	Scaffold13273
capsella_grandiflora	Scaffold1329
capsella_grandiflora	Scaffold133
capsella_grandiflora	Scaffold13316
capsella_grandiflora	Scaffold13339
capsella_grandiflora	Scaffold13349
capsella_grandiflora	Scaffold13359
capsella_grandiflora	Scaffold1336
capsella_grandiflora	Scaffold13360
capsella_grandiflora	Scaffold13365
capsella_grandiflora	Scaffold13370
capsella_grandiflora	Scaffold13389
capsella_grandiflora	Scaffold13393
capsella_grandiflora	Scaffold13396
capsella_grandiflora	Scaffold13398
capsella_grandiflora	Scaffold134
capsella_grandiflora	Scaffold13406
capsella_grandiflora	Scaffold13424
capsella_grandiflora	Scaffold13458
capsella_grandiflora	Scaffold13475
capsella_grandiflora	Scaffold13478
capsella_grandiflora	Scaffold13489
capsella_grandiflora	Scaffold13498
capsella_grandiflora	Scaffold13527
capsella_grandiflora	Scaffold13574
capsella_grandiflora	Scaffold13578
capsella_grandiflora	Scaffold13596
capsella_grandiflora	Scaffold1360
capsella_grandiflora	Scaffold1361
capsella_grandiflora	Scaffold13611
capsella_grandiflora	Scaffold1364
capsella_grandiflora	Scaffold1365
