Sample	Passed Filter	Low Quality	Too Many N	Too short
SRR1945673_1	59188150.0	4806446.0	22856.0	0.0
SRR1945674_1	48701808.0	8766490.0	10202.0	0.0
SRR1945675_1	48531516.0	635998.0	28614.0	0.0
SRR1945676_1	50702720.0	5895866.0	19286.0	0.0
SRR1945677_1	54309102.0	6818454.0	8292.0	0.0
SRR1945678_1	69548120.0	5947172.0	9320.0	0.0
SRR1945679_1	35547236.0	6161856.0	312680.0	0.0
SRR1945680_1	49890688.0	1347668.0	36092.0	0.0
SRR1945681_1	54329682.0	7661206.0	8276.0	0.0
SRR1945682_1	51244672.0	7938568.0	10736.0	0.0
SRR1945683_1	72234562.0	5266128.0	15166.0	0.0
SRR1945684_1	35316016.0	12616092.0	5902.0	0.0
SRR1945685_1	55695882.0	5931800.0	10654.0	0.0
SRR1945686_1	71131616.0	4491174.0	5482.0	0.0
SRR1945687_1	21193044.0	505982.0	14036.0	0.0
